step,mode,R_mean,R_std,avg_rt,avg_nodes,avg_lazy,avg_gap,avg_solved,tail_rt,tail_nodes,tail_lazy,tail_solved,loss,Hmix,rep,scale_reg,entropy_coeff,repulsion_w,scale_mean,scale_min,scale_max,center_pairdist_mean
1,all,6.87905216217041,2.07379412651062,3.4717000007629393,347.1,102.6,3.882276573297862e-05,1.0,6.018666664759318,568.3333333333334,149.66666666666666,1.0,-3.409576654434204,2.0794413089752197,0.9735880494117737,0.0,0.0199,0.009980000000000001,0.12742799520492554,0.12742799520492554,0.12742799520492554,0.042785562574863434
2,all,7.35385274887085,1.7724082469940186,3.6293999433517454,383.1,103.4,4.3968801122858694e-05,1.0,6.862666606903076,563.3333333333334,128.0,1.0,20.73037338256836,2.0347986221313477,0.6480059027671814,0.0,0.019800500000000002,0.009960040000000002,0.14119581878185272,0.09604547172784805,0.1682860255241394,0.17688703536987305
3,all,7.998236179351807,1.483221411705017,4.808500003814697,515.5,129.7,2.3698195734069146e-05,1.0,8.058000008265177,825.6666666666666,171.66666666666666,1.0,8.972469329833984,1.9966293573379517,0.37592676281929016,6.496187415905297e-05,0.0197014975,0.009940119920000002,0.1492355763912201,0.07492376118898392,0.2209777683019638,0.2964508831501007
4,all,7.667672634124756,1.2622381448745728,3.4000999689102174,466.5,113.8,3.09190951558048e-05,1.0,4.75,725.6666666666666,132.0,1.0,2.7463533878326416,1.9422004222869873,0.25852808356285095,0.0006281192763708532,0.0196029900125,0.009920239680160002,0.1571526825428009,0.059595320373773575,0.2644844353199005,0.40970727801322937
5,all,7.878446102142334,1.5275523662567139,4.704000043869018,487.0,126.9,3.590334016940679e-05,1.0,7.893666664759318,559.6666666666666,156.66666666666666,1.0,7.4554123878479,1.8867599964141846,0.22228778898715973,0.002117783296853304,0.0195049750624375,0.009900399200799681,0.16365516185760498,0.048460837453603745,0.32572194933891296,0.503907322883606
6,all,7.591536045074463,1.394360899925232,3.7372999668121336,351.6,134.1,1.3300027522052116e-05,1.0,7.285333236058553,547.6666666666666,177.66666666666666,1.0,-8.14445972442627,1.8707448244094849,0.2079334259033203,0.003903160337358713,0.01940745018712531,0.009880598402398083,0.16783078014850616,0.04612200707197189,0.3745822608470917,0.5769714117050171
7,all,8.098356246948242,1.3476916551589966,4.99639995098114,518.2,129.5,2.5130962506247452e-05,1.0,7.5993332862854,602.6666666666666,154.0,1.0,-0.6877132654190063,1.8457660675048828,0.19520998001098633,0.007454118225723505,0.019310412936189684,0.009860837205593286,0.175496906042099,0.04328203201293945,0.4386522173881531,0.6329178214073181
8,all,7.9129743576049805,1.5069342851638794,4.113599944114685,595.7,130.6,5.0793297144669045e-05,1.0,5.216999928156535,825.0,164.33333333333334,1.0,-1.3544284105300903,1.8226945400238037,0.17815399169921875,0.01376238465309143,0.019213860871508736,0.0098411155311821,0.18622885644435883,0.04130514711141586,0.5226675271987915,0.6759235262870789
9,all,7.989924430847168,1.5924501419067383,4.978200030326843,754.0,123.8,6.879562028315434e-05,1.0,8.92800005276998,1576.3333333333333,166.0,1.0,2.319322347640991,1.8061010837554932,0.1555813103914261,0.022318188101053238,0.019117791567151193,0.009821433300119736,0.19857163727283478,0.04046568647027016,0.6075034141540527,0.7092633843421936
10,all,7.9992170333862305,1.9498072862625122,5.866199946403503,797.4,122.2,3.77842754253776e-05,1.0,10.024333318074545,1652.0,151.0,1.0,1.0920021533966064,1.7952402830123901,0.13090991973876953,0.028168266639113426,0.019022202609315437,0.009801790433519496,0.20794302225112915,0.04042942076921463,0.6518691182136536,0.7352620363235474
