step,mode,R_mean,R_std,avg_rt,avg_nodes,avg_lazy,avg_gap,avg_solved,tail_rt,tail_nodes,tail_lazy,tail_solved,loss,Hmix,rep,scale_reg,entropy_coeff,repulsion_w,scale_mean,scale_min,scale_max,center_pairdist_mean
1,all,6.512921333312988,1.9863674640655518,2.0008999824523928,347.1,102.6,3.882276573297862e-05,1.0,3.324999968210856,568.3333333333334,149.66666666666666,1.0,-3.406885862350464,2.0794413089752197,0.9735880494117737,0.0,0.0199,0.009980000000000001,0.12742799520492554,0.12742799520492554,0.12742799520492554,0.042785562574863434
2,all,7.1184234619140625,1.798041582107544,3.1375,381.8,121.5,5.234635727128391e-05,1.0,5.975333293279012,722.0,172.0,1.0,6.237972259521484,2.079146146774292,0.9597238302230835,0.0,0.019800500000000002,0.009960040000000002,0.12820589542388916,0.12448053061962128,0.1304410994052887,0.0531914047896862
3,all,6.91576623916626,2.3693184852600098,3.317900037765503,383.0,114.6,2.0124363044299188e-05,1.0,6.3179999987284345,669.0,180.66666666666666,1.0,10.447942733764648,2.078749418258667,0.9438036680221558,0.0,0.0197014975,0.009940119920000002,0.1286589652299881,0.12204547226428986,0.13351793587207794,0.06313350796699524
4,all,7.929068088531494,1.1362535953521729,3.346400022506714,615.1,126.2,1.860021601156365e-05,1.0,4.73633337020874,855.0,156.33333333333334,1.0,-1.8019733428955078,2.078272819519043,0.9243457913398743,0.0,0.0196029900125,0.009920239680160002,0.12890885770320892,0.11984414607286453,0.13592034578323364,0.07362796366214752
5,all,6.377668380737305,1.9112482070922852,2.2205999851226808,267.4,103.6,4.663193133807492e-05,1.0,3.9766666094462075,622.0,130.66666666666666,1.0,-2.664621353149414,2.0776443481445312,0.9020296335220337,0.0,0.0195049750624375,0.009900399200799681,0.1290110945701599,0.11745816469192505,0.13873030245304108,0.08430210500955582
6,all,6.835231781005859,2.031569004058838,3.075099992752075,371.9,117.7,5.1928721154896875e-05,1.0,5.644000053405762,758.0,164.66666666666666,1.0,3.7808666229248047,2.076941967010498,0.8768954277038574,0.0,0.01940745018712531,0.009880598402398083,0.12905186414718628,0.11499752104282379,0.14142833650112152,0.09520735591650009
7,all,7.158262729644775,2.1030189990997314,3.2302000522613525,411.2,121.1,3.482124420107473e-05,1.0,6.266666730244954,693.3333333333334,163.66666666666666,1.0,0.09507118165493011,2.0766217708587646,0.8492391705513,0.0,0.019310412936189684,0.009860837205593286,0.12910981476306915,0.11453908681869507,0.14251834154129028,0.10630630701780319
8,all,7.747579097747803,1.8125807046890259,4.004200029373169,481.7,131.7,3.0465648539450923e-05,1.0,6.793000062306722,613.6666666666666,180.0,1.0,-1.0028244256973267,2.0767006874084473,0.8196967840194702,0.0,0.019213860871508736,0.0098411155311821,0.12907321751117706,0.11508446931838989,0.14264044165611267,0.11746013164520264
9,all,7.401401519775391,0.9551982283592224,2.266300010681152,386.8,115.7,4.677433712389929e-05,1.0,4.098333279291789,613.0,151.33333333333334,1.0,3.4329988956451416,2.0767951011657715,0.7884016036987305,0.0,0.019117791567151193,0.009821433300119736,0.1290334165096283,0.11579513549804688,0.1428985893726349,0.12876169383525848
10,all,7.618687629699707,1.6079778671264648,3.3541000127792358,466.8,131.2,4.270345606183185e-05,1.0,6.115000009536743,589.6666666666666,177.33333333333334,1.0,-3.4918570518493652,2.076956272125244,0.7557822465896606,0.0,0.019022202609315437,0.009801790433519496,0.12900999188423157,0.11647861450910568,0.14237160980701447,0.1401871144771576
