step,mode,R_mean,R_std,avg_rt,avg_nodes,avg_lazy,avg_gap,avg_solved,tail_rt,tail_nodes,tail_lazy,tail_solved,loss,Hmix,rep,scale_reg,entropy_coeff,repulsion_w,scale_mean,scale_min,scale_max,center_pairdist_mean
1,all,6.482542991638184,1.9751890897750854,1.896400022506714,347.1,102.6,3.882276573297862e-05,1.0,3.1016666889190674,568.3333333333334,149.66666666666666,1.0,-3.398332357406616,2.0794413089752197,0.9735880494117737,0.0,0.0199,0.009980000000000001,0.12742799520492554,0.12742799520492554,0.12742799520492554,0.042785562574863434
2,all,7.064029693603516,2.1998534202575684,3.5967999935150146,392.3,131.4,2.9435529883250232e-05,1.0,5.474999904632568,615.0,180.66666666666666,1.0,-3.3823511600494385,2.0794410705566406,0.9731093645095825,0.0,0.019800500000000002,0.009960040000000002,0.127457857131958,0.12730886042118073,0.1275472640991211,0.04318612441420555
3,all,7.706015586853027,0.40258294343948364,2.4084000110626222,478.4,114.4,3.300832981922214e-05,1.0,3.234000047047933,669.0,128.66666666666666,1.0,-5.006817817687988,2.0794403553009033,0.9726475477218628,0.0,0.0197014975,0.009940119920000002,0.12748588621616364,0.12719042599201202,0.12766654789447784,0.04356886073946953
4,all,6.874708652496338,1.8757665157318115,2.0667999505996706,394.9,115.0,9.963245531137654e-06,1.0,3.485666513442993,708.6666666666666,156.66666666666666,1.0,3.0517094135284424,2.079439878463745,0.9721869826316833,0.0,0.0196029900125,0.009920239680160002,0.12749896943569183,0.1271800696849823,0.1277841031551361,0.04394742473959923
5,all,6.51922607421875,1.9954968690872192,2.1629000186920164,305.0,101.6,1.8581291315203904e-05,1.0,4.416666666666667,632.0,152.0,1.0,-6.206223487854004,2.079439878463745,0.9717088937759399,0.0,0.0195049750624375,0.009900399200799681,0.12750019133090973,0.12718674540519714,0.1278281807899475,0.04433685541152954
6,all,7.097448825836182,2.150308847427368,4.431699991226196,331.3,122.0,4.082763229933608e-05,1.0,7.578000068664551,585.3333333333334,176.66666666666666,1.0,-1.4201968908309937,2.079439163208008,0.9712477922439575,0.0,0.01940745018712531,0.009880598402398083,0.12750288844108582,0.12715288996696472,0.12786836922168732,0.04470936581492424
7,all,6.973702907562256,2.4787914752960205,5.24069995880127,357.6,117.3,3.1741350084322994e-05,1.0,9.234333197275797,607.0,158.0,1.0,1.5964246988296509,2.0794384479522705,0.970766007900238,0.0,0.019310412936189684,0.009860837205593286,0.12750564515590668,0.1271151751279831,0.12793046236038208,0.04509527236223221
8,all,8.004390716552734,1.8972699642181396,6.6828999519348145,504.0,126.3,3.908122674398519e-05,1.0,12.974999904632568,808.6666666666666,165.0,1.0,0.6470922231674194,2.079437732696533,0.9702673554420471,0.0,0.019213860871508736,0.0098411155311821,0.12750601768493652,0.12704093754291534,0.12799441814422607,0.04549124091863632
9,all,8.124433517456055,1.4563151597976685,5.3651999711990355,579.0,127.2,4.2090803502085734e-05,1.0,8.476333300272623,919.0,148.0,1.0,0.18417686223983765,2.079436779022217,0.9697543978691101,0.0,0.019117791567151193,0.009821433300119736,0.12750716507434845,0.1269945502281189,0.1280389428138733,0.045894987881183624
10,all,6.923888206481934,2.2641265392303467,4.069299936294556,372.9,112.8,3.8049832176530716e-05,1.0,8.042999982833862,797.3333333333334,175.0,1.0,4.093654155731201,2.0794363021850586,0.9692288041114807,0.0,0.019022202609315437,0.009801790433519496,0.12750685214996338,0.12695392966270447,0.12809965014457703,0.04630511626601219
