step,mode,R_mean,R_std,avg_rt,avg_nodes,avg_lazy,avg_gap,avg_solved,tail_rt,tail_nodes,tail_lazy,tail_solved,loss,Hmix,rep,scale_reg,entropy_coeff,repulsion_w,scale_mean,scale_min,scale_max,center_pairdist_mean
1,all,6.652713775634766,2.024242877960205,2.5187000036239624,347.1,102.6,3.882276573297862e-05,1.0,4.392666657765706,568.3333333333334,149.66666666666666,1.0,-3.3431901931762695,2.0794413089752197,0.9735880494117737,0.0,0.0199,0.009980000000000001,0.12742799520492554,0.12742799520492554,0.12742799520492554,0.042785562574863434
2,all,6.991140842437744,1.570023536682129,2.733699989318848,354.2,118.6,2.8708486369066685e-05,1.0,3.809666713078817,744.0,139.0,1.0,6.654817581176758,2.0790154933929443,0.9564892649650574,0.0,0.019800500000000002,0.009960040000000002,0.12836936116218567,0.12389881908893585,0.1310516893863678,0.05534495785832405
3,all,7.305716037750244,1.8676941394805908,3.0217000007629395,433.6,123.6,4.3322166433548695e-05,1.0,4.871333360671997,560.6666666666666,163.66666666666666,1.0,-6.766962051391602,2.078584909439087,0.9355412721633911,0.0,0.0197014975,0.009940119920000002,0.12876734137535095,0.1211557686328888,0.13450820744037628,0.0677667185664177
4,all,7.528275489807129,1.6137217283248901,2.924399971961975,516.4,118.8,4.9206781087898485e-05,1.0,5.123666683832805,816.0,158.66666666666666,1.0,3.4272663593292236,2.0779151916503906,0.9106149673461914,0.0,0.0196029900125,0.009920239680160002,0.128877654671669,0.11879418045282364,0.13781039416790009,0.08035168796777725
5,all,6.712061405181885,2.123715877532959,2.5562999725341795,409.8,112.1,3.5057816546183337e-05,1.0,4.882999976476033,759.6666666666666,151.66666666666666,1.0,-2.496467113494873,2.0777368545532227,0.8815140128135681,0.0,0.0195049750624375,0.009900399200799681,0.12877973914146423,0.11844998598098755,0.13935129344463348,0.09330684691667557
6,all,7.8668317794799805,1.4455809593200684,3.74469997882843,514.9,144.0,3.2919006164920714e-05,1.0,6.560666640599568,734.3333333333334,181.66666666666666,1.0,0.8593519926071167,2.0775582790374756,0.8488573431968689,0.0,0.01940745018712531,0.009880598402398083,0.12882058322429657,0.11791789531707764,0.14033155143260956,0.10650301724672318
7,all,6.782283782958984,2.2189300060272217,3.0140999794006347,338.3,119.8,2.617426528778944e-05,1.0,6.004666566848755,563.6666666666666,162.0,1.0,3.542819023132324,2.0769975185394287,0.8132379651069641,0.0,0.019310412936189684,0.009860837205593286,0.1289045810699463,0.1168542131781578,0.14218613505363464,0.11989885568618774
8,all,7.996055603027344,0.7372183799743652,3.236299920082092,481.1,137.4,4.801851199372983e-05,1.0,5.104333162307739,564.3333333333334,165.66666666666666,1.0,-0.22485001385211945,2.0762791633605957,0.7758991122245789,0.0,0.019213860871508736,0.0098411155311821,0.1290387213230133,0.1159972995519638,0.1431398242712021,0.1332537680864334
9,all,7.8439764976501465,1.0057809352874756,3.118300032615662,522.9,123.2,4.092615348100024e-05,1.0,5.028000036875407,847.6666666666666,138.33333333333334,1.0,1.2088879346847534,2.075551986694336,0.7369758486747742,0.0,0.019117791567151193,0.009821433300119736,0.129171222448349,0.11461825668811798,0.1431947648525238,0.1467670351266861
10,all,7.696749210357666,1.8257721662521362,3.830899953842163,426.6,146.5,2.2523099496588456e-05,1.0,6.153666575749715,632.6666666666666,185.66666666666666,1.0,2.834134578704834,2.0748817920684814,0.6972006559371948,0.0,0.019022202609315437,0.009801790433519496,0.12925297021865845,0.11333414167165756,0.14340324699878693,0.16040270030498505
11,all,7.278390407562256,1.8988336324691772,3.195500040054321,424.1,118.4,4.182153446215608e-05,1.0,5.634000062942505,752.0,172.33333333333334,1.0,-0.704349160194397,2.0741937160491943,0.6573185324668884,0.0,0.01892709159626886,0.009782186852652457,0.12931638956069946,0.1122465431690216,0.14351306855678558,0.17411717772483826
12,all,7.103487968444824,1.7776867151260376,2.663100028038025,356.5,117.6,2.572752563166241e-05,1.0,4.609999974568685,560.3333333333334,159.0,1.0,-0.7547746300697327,2.0737130641937256,0.6192355751991272,0.0,0.018832456138287518,0.009762622478947153,0.1293727159500122,0.1116238608956337,0.14446595311164856,0.18743237853050232
13,all,7.526663780212402,1.7048068046569824,2.630200004577637,483.2,137.0,4.5813426589733566e-05,1.0,3.9896666208902993,586.3333333333334,182.0,1.0,2.2072348594665527,2.0730221271514893,0.5821524262428284,0.0,0.01873829385759608,0.00974309723398926,0.12942463159561157,0.11086011677980423,0.14614608883857727,0.2007802575826645
14,all,6.957942008972168,2.0698585510253906,2.860699987411499,451.7,115.8,5.1886074313135246e-05,1.0,4.700999975204468,789.3333333333334,146.0,1.0,-2.1103363037109375,2.0722548961639404,0.5473575592041016,0.0,0.0186446023883081,0.00972361103952128,0.12957751750946045,0.10950690507888794,0.14725735783576965,0.21381151676177979
15,all,7.043186187744141,1.852164387702942,3.2187000036239626,416.8,110.3,3.446263524717767e-05,1.0,6.011333227157593,694.6666666666666,153.33333333333334,1.0,-1.4982006549835205,2.071410894393921,0.5148816108703613,0.0,0.01855137937636656,0.009704163817442237,0.12973111867904663,0.10791611671447754,0.14839327335357666,0.22658061981201172
16,all,6.857583045959473,1.8064955472946167,2.4771000385284423,421.4,102.5,1.9179284584257713e-05,1.0,3.5760000546773276,821.3333333333334,120.0,1.0,-2.628235340118408,2.070725202560425,0.4841711223125458,0.0,0.018458622479484727,0.009684755489807352,0.12983015179634094,0.10685133934020996,0.14998863637447357,0.2393685132265091
17,all,7.891329288482666,1.3883893489837646,3.803000020980835,504.7,147.7,3.082722901482679e-05,1.0,5.318000078201294,655.0,185.66666666666666,1.0,-3.2461583614349365,2.0700697898864746,0.4555501341819763,0.0,0.018366329367087302,0.009665385978827738,0.12996065616607666,0.1057455837726593,0.15080413222312927,0.2520937919616699
18,all,7.996675968170166,1.0691581964492798,3.8688000202178956,503.0,126.0,4.1955960343786685e-05,1.0,6.523000081380208,578.6666666666666,164.0,1.0,-0.3647173345088959,2.069608688354492,0.4292183518409729,0.0,0.018274497720251866,0.009646055206870082,0.13004009425640106,0.10526632517576218,0.15123991668224335,0.26468339562416077
19,all,7.012354850769043,2.0174899101257324,3.9087000370025633,357.3,127.7,2.8254000420750654e-05,1.0,6.230000098546346,726.0,161.0,1.0,-3.468920946121216,2.0691521167755127,0.40526553988456726,0.0,0.018183125231650606,0.009626763096456343,0.13009493052959442,0.10483894497156143,0.15183712542057037,0.2770719528198242
