step,mode,R_mean,R_std,avg_rt,avg_nodes,avg_lazy,avg_gap,avg_solved,tail_rt,tail_nodes,tail_lazy,tail_solved,loss,Hmix,rep,scale_reg,entropy_coeff,repulsion_w,scale_mean,scale_min,scale_max,center_pairdist_mean
1,lazy,4.5854339599609375,0.31743159890174866,3.13510000705719,341.7,101.9,0.0007677034578632945,0.8,4.894333283106486,550.3333333333334,147.33333333333334,0.3333333333333333,-3.331594228744507,2.0794413089752197,0.9735880494117737,0.0,0.0199,0.009980000000000001,0.12742799520492554,0.12742799520492554,0.12742799520492554,0.042785562574863434
2,lazy,4.698416709899902,0.3077361583709717,3.550200033187866,386.9,113.6,0.0499444227247096,0.7,5.010666688283284,519.0,163.0,0.0,6.381054401397705,2.079423427581787,0.9706194996833801,0.0,0.019800500000000002,0.009960040000000002,0.12742990255355835,0.12671467661857605,0.12814511358737946,0.04521255940198898
3,lazy,4.762629508972168,0.3346574008464813,3.869200015068054,446.3,121.9,0.008736675476849627,0.5,5.003000020980835,591.3333333333334,168.66666666666666,0.0,-6.149448394775391,2.079393148422241,0.9676609039306641,0.0,0.0197014975,0.009940119920000002,0.12751078605651855,0.12610791623592377,0.12886682152748108,0.047506410628557205
4,lazy,4.674944877624512,0.44831031560897827,3.00460000038147,340.0,115.9,0.005844967473523195,0.6,5.002999941507976,594.3333333333334,172.0,0.0,2.7787351608276367,2.0793514251708984,0.9644059538841248,0.0,0.0196029900125,0.009920239680160002,0.12755455076694489,0.1254822313785553,0.12958769500255585,0.04991171136498451
5,lazy,4.666079521179199,0.1731272041797638,3.6683000564575194,407.7,106.7,0.00415030727130711,0.8,4.274333397547404,417.3333333333333,127.33333333333333,0.3333333333333333,-3.320854425430298,2.0793302059173584,0.9608850479125977,0.0,0.0195049750624375,0.009900399200799681,0.12759041786193848,0.125308558344841,0.13026008009910583,0.05239298939704895
6,lazy,4.657097816467285,0.342435747385025,2.908099961280823,282.0,110.1,0.012107551015502368,0.7,5.007333278656006,525.0,160.33333333333334,0.0,-3.3880527019500732,2.0793089866638184,0.9571273922920227,0.0,0.01940745018712531,0.009880598402398083,0.12762939929962158,0.1253490447998047,0.1307983249425888,0.054921992123126984
7,lazy,4.63826322555542,0.29868796467781067,3.3575000286102297,362.5,106.4,0.0035073588663618203,0.7,4.629000107447307,587.6666666666666,137.33333333333334,0.3333333333333333,3.1087229251861572,2.0792770385742188,0.9531205296516418,0.0,0.019310412936189684,0.009860837205593286,0.1276382952928543,0.12497971206903458,0.1313895285129547,0.05750179663300514
8,lazy,4.836828231811523,0.27606621384620667,3.7526999711990356,441.2,129.4,0.018477232010278063,0.4,5.009333372116089,536.3333333333334,171.0,0.0,-1.0965019464492798,2.0792489051818848,0.9488681554794312,0.0,0.019213860871508736,0.0098411155311821,0.12765462696552277,0.12490733712911606,0.13189171254634857,0.06012541055679321
9,lazy,4.9155707359313965,0.21218356490135193,4.208900046348572,493.3,138.1,0.014700856520163555,0.8,4.870999972025554,548.6666666666666,167.0,0.6666666666666666,1.841766595840454,2.079221248626709,0.944372832775116,0.0,0.019117791567151193,0.009821433300119736,0.1276688128709793,0.12489036470651627,0.1324070692062378,0.06278776377439499
10,lazy,4.44674015045166,0.3456685543060303,2.1413999795913696,200.9,88.7,0.0006897809737605513,0.9,2.565333286921183,302.6666666666667,118.0,1.0,3.272326946258545,2.079210042953491,0.9396368265151978,0.0,0.019022202609315437,0.009801790433519496,0.127668097615242,0.12499246746301651,0.13262055814266205,0.06548506766557693
11,lazy,4.707125663757324,0.23674330115318298,3.873199987411499,357.4,112.4,0.007531077967796727,0.6,4.9913333257039385,547.0,140.66666666666666,0.3333333333333333,-0.08786599338054657,2.079179286956787,0.9346643090248108,0.0,0.01892709159626886,0.009782186852652457,0.12766605615615845,0.1247977763414383,0.13298222422599792,0.06821290403604507
12,lazy,4.584949016571045,0.3207366168498993,2.908300018310547,363.7,101.3,inf,0.9,4.709666649500529,692.6666666666666,132.0,0.6666666666666666,1.2157467603683472,2.0791542530059814,0.9294735789299011,0.0,0.018832456138287518,0.009762622478947153,0.12766492366790771,0.12470560520887375,0.13308009505271912,0.07096051424741745
13,lazy,4.801192283630371,0.39044782519340515,3.5794000387191773,425.1,128.2,inf,0.7,4.846500098705292,534.5,164.0,0.5,-4.870333194732666,2.0791211128234863,0.9240427017211914,0.0,0.01873829385759608,0.00974309723398926,0.1276775747537613,0.12439591437578201,0.13322436809539795,0.07373931258916855
14,lazy,4.779605865478516,0.1913554072380066,3.7634000539779664,519.4,120.0,0.006449028993709248,0.6,4.523666699727376,579.0,146.33333333333334,0.3333333333333333,-1.2487868070602417,2.0790939331054688,0.9183744788169861,0.0,0.0186446023883081,0.00972361103952128,0.127681702375412,0.12416021525859833,0.13336555659770966,0.07654716074466705
15,lazy,4.62108850479126,0.294266015291214,3.0432999610900877,303.3,104.7,0.0031297657847565393,0.7,5.002333243687947,532.6666666666666,146.66666666666666,0.0,-7.705385684967041,2.079071521759033,0.9126324653625488,0.0,0.01855137937636656,0.009704163817442237,0.12768971920013428,0.12407762557268143,0.13357406854629517,0.07930543273687363
16,lazy,4.792120933532715,0.2862046957015991,3.549200010299683,374.6,124.2,0.0087543900759395,0.6,5.003666718800862,530.3333333333334,169.66666666666666,0.0,-0.7087748646736145,2.0790412425994873,0.9066356420516968,0.0,0.018458622479484727,0.009684755489807352,0.1277039498090744,0.12391312420368195,0.13391011953353882,0.08210485428571701
17,lazy,4.8254804611206055,0.3580295443534851,4.038399982452392,508.6,130.2,0.009988358339451943,0.5,5.0059999624888105,555.3333333333334,170.0,0.0,2.4071543216705322,2.079007625579834,0.9004938006401062,0.0,0.018366329367087302,0.009665385978827738,0.12771327793598175,0.1238902285695076,0.13429422676563263,0.0848943442106247
18,lazy,4.817022323608398,0.24929511547088623,4.114000058174133,480.5,125.7,0.022010257869147867,0.6,4.74233341217041,526.0,145.33333333333334,0.6666666666666666,4.015502452850342,2.078965902328491,0.8942011594772339,0.0,0.018274497720251866,0.009646055206870082,0.12772837281227112,0.1238136813044548,0.1347205936908722,0.08767944574356079
19,lazy,4.721747398376465,0.4140763282775879,3.2776999950408934,363.3,119.5,0.021287758401485436,0.6,5.0033332506815595,535.6666666666666,166.66666666666666,0.0,-2.0078742504119873,2.078923463821411,0.8876425623893738,0.0,0.018183125231650606,0.009626763096456343,0.12775084376335144,0.12375045567750931,0.13505564630031586,0.09051290899515152
20,lazy,4.74759578704834,0.22264701128005981,3.61419997215271,495.1,117.0,0.009329027409503417,0.7,5.005333264668782,554.6666666666666,153.33333333333334,0.0,6.201829433441162,2.0788848400115967,0.8808301687240601,0.0,0.018092209605492352,0.00960750957026343,0.12776827812194824,0.1235043853521347,0.1353568732738495,0.09338889271020889
21,lazy,4.70430326461792,0.3724746108055115,3.245099997520447,434.0,116.1,0.0034314991059952874,0.7,4.301999966303508,575.0,161.66666666666666,0.3333333333333333,0.21942046284675598,2.0788488388061523,0.8737761378288269,0.0,0.01800174855746489,0.009588294551122903,0.12778691947460175,0.12328209728002548,0.13567499816417694,0.096302330493927
22,lazy,4.797379493713379,0.3429524600505829,3.555400013923645,357.7,126.1,0.00898405411662712,0.7,5.003333330154419,547.3333333333334,167.0,0.0,-2.29551100730896,2.0788118839263916,0.8664919137954712,0.0,0.017911739814677568,0.009569117962020658,0.1278035193681717,0.1231440007686615,0.1359633356332779,0.09924902021884918
23,lazy,4.642138957977295,0.3171292543411255,3.6248000144958494,490.8,107.6,0.002900261665538437,0.6,4.868333339691162,552.3333333333334,151.0,0.3333333333333333,5.347497463226318,2.078756809234619,0.8589895963668823,0.0,0.01782218111560418,0.009549979726096617,0.12782219052314758,0.12302228808403015,0.1363324373960495,0.10222513228654861
24,lazy,4.784372329711914,0.4193330705165863,3.3930999517440794,353.5,127.8,0.012014949270743393,0.5,5.00849986076355,560.0,186.5,0.0,0.2904100716114044,2.078721523284912,0.851536214351654,0.0,0.017733070210026156,0.009530879766644424,0.12783606350421906,0.1229424849152565,0.1364700049161911,0.10512789338827133
25,lazy,4.70906925201416,0.3042682707309723,4.283400011062622,315.4,114.7,inf,0.4,5.008000016212463,488.5,175.0,0.0,0.8152822852134705,2.07867693901062,0.8438507914543152,0.0,0.017644404858976025,0.009511818007111135,0.12784703075885773,0.12288492918014526,0.13672907650470734,0.1080712229013443
26,lazy,4.884814262390137,0.21635740995407104,4.318499994277954,466.5,133.8,0.03335500025588821,0.5,4.95799994468689,535.5,160.0,0.5,4.16083288192749,2.0786185264587402,0.8359730839729309,0.0,0.017556182834681144,0.009492794371096912,0.1278579831123352,0.12280174344778061,0.13712434470653534,0.11104100197553635
27,lazy,4.574828147888184,0.3970622420310974,4.052299976348877,340.5,102.9,0.02892211676621692,0.4,5.009999990463257,532.0,159.5,0.0,-1.1429675817489624,2.078571319580078,0.8278926014900208,0.0,0.017468401920507737,0.00947380878235472,0.1278616040945053,0.12284769862890244,0.13755738735198975,0.11404287815093994
28,lazy,4.707924842834473,0.33446982502937317,3.754100036621094,377.1,115.3,0.004501742407571569,0.6,4.4075000286102295,522.5,162.0,0.5,0.5157513618469238,2.0785160064697266,0.8196259140968323,0.0,0.0173810599109052,0.00945486116479001,0.12786538898944855,0.1228746622800827,0.13801389932632446,0.11707248538732529
29,lazy,4.672515869140625,0.3168349266052246,3.2391999483108522,303.4,111.0,0.005046229687424414,0.7,4.942000031471252,610.0,166.5,0.5,5.728872299194336,2.0784718990325928,0.8111891746520996,0.0,0.017294154611350674,0.009435951442460429,0.12786966562271118,0.12302249670028687,0.13839881122112274,0.12012582272291183
30,lazy,4.727283000946045,0.24923798441886902,3.7737000226974486,450.0,115.0,0.004327180669641564,0.5,4.912999927997589,637.25,140.25,0.25,-2.60493803024292,2.0784547328948975,0.8028632998466492,0.0,0.017207683838293922,0.009417079539575508,0.12786757946014404,0.12291459739208221,0.1385621577501297,0.12310439348220825
31,lazy,4.728880882263184,0.43976739048957825,3.407599997520447,392.5,121.2,0.057686560392831376,0.6,4.965000033378601,610.0,159.5,0.5,7.599616050720215,2.0784451961517334,0.7945067286491394,0.0,0.017121645419102452,0.009398245380496356,0.12786003947257996,0.12270275503396988,0.1386689394712448,0.1260632574558258
32,lazy,4.956096649169922,0.1338621973991394,4.266900038719177,551.6,142.2,0.005365562770536316,0.5,4.487500071525574,591.5,169.5,1.0,-0.22593086957931519,2.0784382820129395,0.7860990166664124,0.0,0.01703603719200694,0.009379448889735364,0.12785570323467255,0.12247903645038605,0.13880863785743713,0.12901265919208527
33,lazy,4.709194183349609,0.3072117567062378,3.846500015258789,348.6,114.7,0.06229822825490522,0.5,5.005000114440918,518.5,170.5,0.0,-3.2832655906677246,2.0784413814544678,0.7775136232376099,0.0,0.016950857006046902,0.009360689991955893,0.12784919142723083,0.12232876569032669,0.13881255686283112,0.13199995458126068
34,lazy,4.766091346740723,0.2881946563720703,3.233699989318848,352.2,121.0,0.002668122792783374,0.8,4.7144999504089355,574.0,175.5,0.5,3.8058176040649414,2.078439950942993,0.7690297365188599,0.0,0.016866102721016667,0.009341968611971981,0.12784086167812347,0.12208039313554764,0.13876378536224365,0.1349300891160965
35,lazy,4.633688926696777,0.5102453231811523,3.3561999797821045,360.7,113.0,0.009499813610977199,0.7,5.007500052452087,531.5,170.5,0.0,-2.4411659240722656,2.078439235687256,0.7603758573532104,0.0,0.016781772207411585,0.009323284674748036,0.12783318758010864,0.12195010483264923,0.13869646191596985,0.13790033757686615
36,lazy,4.725323677062988,0.26519539952278137,3.41659996509552,461.9,115.3,0.0019883122117557057,0.8,4.870000004768372,587.5,158.0,0.5,-3.4078094959259033,2.0784263610839844,0.7519000768661499,0.0,0.016697863346374527,0.009304638105398541,0.1278304010629654,0.12188242375850677,0.13865970075130463,0.14079324901103973
37,lazy,4.619715213775635,0.35561203956604004,3.1851999521255494,403.1,106.1,0.002988947463936944,0.7,5.022499918937683,549.5,158.0,0.0,1.2705570459365845,2.078416109085083,0.743316113948822,0.0,0.016614374029642654,0.009286028829187744,0.12783361971378326,0.12194159626960754,0.1385510265827179,0.14370985329151154
38,lazy,4.455602645874023,0.5344494581222534,2.6939000129699706,287.8,95.4,0.0014064467414844964,0.8,5.005500078201294,703.0,143.5,0.0,-2.05737042427063,2.0783884525299072,0.7345835566520691,0.0,0.01653130215949444,0.009267456771529368,0.1278337836265564,0.12187811732292175,0.13855905830860138,0.146666020154953
39,lazy,4.782013416290283,0.30026009678840637,4.234399938583374,530.4,122.8,0.0387657961061994,0.5,5.005499839782715,528.0,155.5,0.0,2.76039719581604,2.078356981277466,0.7257305383682251,0.0,0.01644864564869697,0.009248921857986309,0.12783339619636536,0.12185022234916687,0.13861271739006042,0.14965441823005676
40,lazy,4.594189643859863,0.30411362648010254,3.93289999961853,290.1,101.8,inf,0.6,3.629499912261963,383.5,136.0,0.5,-0.08319000154733658,2.078312397003174,0.7168108820915222,0.0,0.016366402420453483,0.009230424014270336,0.1278362274169922,0.12170253694057465,0.13880015909671783,0.1526591032743454
41,lazy,4.69534969329834,0.36624372005462646,3.8194000005722044,281.1,114.4,0.04170596964271757,0.4,5.002999901771545,527.5,146.5,0.0,4.836493968963623,2.078277111053467,0.7079980969429016,0.0,0.016284570408351216,0.009211963166241795,0.12783485651016235,0.12147235870361328,0.13892902433872223,0.1556236296892166
42,lazy,4.728314399719238,0.2365390807390213,4.094599986076355,401.9,114.8,inf,0.5,5.0015000104904175,382.5,143.0,0.0,-1.654855489730835,2.0782439708709717,0.6991659998893738,0.0,0.016203147556309458,0.009193539239909312,0.12783183157444,0.12121055275201797,0.138968363404274,0.15859313309192657
43,lazy,4.619315147399902,0.2828875184059143,3.585599994659424,325.1,103.8,0.012714737561329797,0.7,4.044000029563904,437.5,132.0,0.5,3.7995619773864746,2.078211784362793,0.6902703046798706,0.0,0.01612213181852791,0.009175152161429494,0.12782849371433258,0.12096687406301498,0.13892728090286255,0.16158485412597656
44,lazy,4.811526775360107,0.34367698431015015,4.040900015830994,535.2,128.0,0.05822029120511975,0.5,5.008000135421753,528.0,180.0,0.0,4.110732555389404,2.078192949295044,0.6813434362411499,0.0,0.01604152115943527,0.009156801857106635,0.12782126665115356,0.12072516977787018,0.1389162838459015,0.1645902544260025
