step,mode,R_mean,R_std,avg_rt,avg_nodes,avg_lazy,avg_gap,avg_solved,tail_rt,tail_nodes,tail_lazy,tail_solved,loss,Hmix,rep,scale_reg,entropy_coeff,repulsion_w,scale_mean,scale_min,scale_max,center_pairdist_mean
1,all,6.544930458068848,1.9786573648452759,2.0848999977111817,347.1,102.6,3.882276573297862e-05,1.0,3.386333386103312,568.3333333333334,149.66666666666666,1.0,-3.393310070037842,2.0794413089752197,0.9735880494117737,0.0,0.0199,0.009980000000000001,0.12742799520492554,0.12742799520492554,0.12742799520492554,0.042785562574863434
2,all,7.41049337387085,1.4920254945755005,3.151800012588501,402.7,113.3,4.2793052119621534e-05,1.0,6.083999951680501,592.6666666666666,152.66666666666666,1.0,1.1093785762786865,2.0792529582977295,0.9628073573112488,0.0,0.019800500000000002,0.009960040000000002,0.12804505228996277,0.12506484985351562,0.1298331618309021,0.05105707421898842
3,all,7.310969352722168,1.781176209449768,2.6882000207901,416.2,126.1,4.916565092980957e-05,1.0,4.504666725794475,590.6666666666666,183.0,1.0,-0.24321185052394867,2.0787644386291504,0.9506350159645081,0.0,0.0197014975,0.009940119920000002,0.12855912744998932,0.12277067452669144,0.13228388130664825,0.05905643850564957
4,all,6.9031267166137695,1.8382513523101807,2.8798999547958375,344.7,116.3,3.443427275154713e-05,1.0,5.577333291371663,606.0,168.0,1.0,-3.4200949668884277,2.078141450881958,0.9361730217933655,0.0,0.0196029900125,0.009920239680160002,0.12897992134094238,0.12072429060935974,0.13475972414016724,0.06742086261510849
5,all,7.598341941833496,1.046785593032837,2.9164000034332274,403.6,119.4,2.7970262606745958e-05,1.0,5.553333282470703,580.3333333333334,151.66666666666666,1.0,0.2703760266304016,2.0776405334472656,0.9195235967636108,0.0,0.0195049750624375,0.009900399200799681,0.12930928170681,0.11878328770399094,0.1365206092596054,0.07604040950536728
6,all,6.356655120849609,2.2285537719726562,2.659499979019165,286.7,118.8,3.723964542940892e-05,1.0,4.288666645685832,556.6666666666666,181.33333333333334,1.0,-3.8430142402648926,2.0773186683654785,0.9008736610412598,0.0,0.01940745018712531,0.009880598402398083,0.1294676661491394,0.1179545596241951,0.1376928687095642,0.08482054620981216
7,all,7.501232147216797,1.5213215351104736,3.4056999683380127,387.7,138.4,4.26828304241597e-05,1.0,5.25,583.6666666666666,183.33333333333334,1.0,-4.506850242614746,2.076862335205078,0.8803852200508118,0.0,0.019310412936189684,0.009860837205593286,0.12958437204360962,0.11700517684221268,0.13936640322208405,0.09373211860656738
8,all,7.194141387939453,1.7171599864959717,2.2289999961853026,464.9,113.3,2.5671323319922273e-05,1.0,3.2813332875569663,694.6666666666666,146.0,1.0,1.979752779006958,2.076369524002075,0.8586207628250122,0.0,0.019213860871508736,0.0098411155311821,0.12964604794979095,0.11653855443000793,0.14078722894191742,0.10259103029966354
9,all,6.8745317459106445,1.8171976804733276,2.4450999975204466,336.2,119.6,4.144364017719651e-05,1.0,3.9053332805633545,551.6666666666666,160.0,1.0,-0.2742609679698944,2.0759267807006836,0.8353253602981567,0.0,0.019117791567151193,0.009821433300119736,0.12964951992034912,0.11637663096189499,0.1420552283525467,0.1115850880742073
10,all,7.556941986083984,1.4558454751968384,2.6672000169754027,493.9,124.3,3.54032438987945e-05,1.0,3.7860000133514404,639.3333333333334,144.0,1.0,1.338513970375061,2.075500011444092,0.810680091381073,0.0,0.019022202609315437,0.009801790433519496,0.1296454519033432,0.11558789759874344,0.1428598314523697,0.12070394307374954
